Pid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 3208, 600, 49, -792, FULL_HOUSE, 5, NORMAL
2222, 9657, 600, 54, 5657, FULL_HOUSE, 1, NORMAL
3333, 4161, 600, 62, 161, STRAIGHT, 4, NORMAL
4444, 0, 332, 19, -4000, FULL_HOUSE, 8, NORMAL
5555, 5872, 600, 26, 1872, STRAIGHT, 3, NORMAL
6666, 6, 436, 23, -3994, FULL_HOUSE, 7, NORMAL
7777, 2381, 600, 30, -1619, TWO_PAIR, 6, NORMAL
8888, 6715, 600, 102, 2715, STRAIGHT, 2, NORMAL
