Pid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 31, 135, 6, -3969, TWO_PAIR, 8, NORMAL
2222, 18, 211, 6, -3982, THREE_OF_A_KIND, 6, NORMAL
3333, 36, 367, 3, -3964, STRAIGHT, 3, NORMAL
4444, 0, 307, 7, -4000, STRAIGHT, 4, NORMAL
5555, 0, 149, 2, -4000, ONE_PAIR, 7, NORMAL
6666, 30, 261, 3, -3970, FLUSH, 5, NORMAL
7777, 19996, 600, 42, 15996, FULL_HOUSE, 1, NORMAL
8888, 11889, 600, 41, 7889, FLUSH, 2, NORMAL
