Pid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 188, 9, -4000, THREE_OF_A_KIND, 7, NORMAL
2222, 0, 44, 1, -4000, ONE_PAIR, 8, NORMAL
3333, 28, 320, 5, -3972, FLUSH, 6, NORMAL
4444, 4712, 600, 3, 712, FULL_HOUSE, 4, NORMAL
5555, 8609, 600, 3, 4609, THREE_OF_A_KIND, 2, NORMAL
6666, 1445, 600, 15, -2555, FULL_HOUSE, 5, NORMAL
7777, 12337, 600, 34, 8337, FULL_HOUSE, 1, NORMAL
8888, 4869, 600, 22, 869, FULL_HOUSE, 3, NORMAL
