Pid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 2404, 600, 18, -1596, FULL_HOUSE, 2, NORMAL
2222, 0, 77, 5, -4000, STRAIGHT, 8, NORMAL
3333, 2170, 600, 15, -1830, FLUSH, 3, NORMAL
4444, 0, 336, 3, -4000, THREE_OF_A_KIND, 6, NORMAL
5555, 2163, 600, 6, -1837, FULL_HOUSE, 4, NORMAL
6666, 20, 450, 13, -3980, FLUSH, 5, NORMAL
7777, 25243, 600, 33, 21243, FLUSH, 1, NORMAL
8888, 0, 105, 10, -4000, STRAIGHT, 7, NORMAL
