Pid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 567, 76, -4000, FULL_HOUSE, 8, NORMAL
2222, 6809, 600, 29, 2809, STRAIGHT, 3, NORMAL
3333, 72, 600, 61, -3928, FULL_HOUSE, 7, NORMAL
4444, 4093, 600, 28, 93, STRAIGHT_FLUSH, 4, NORMAL
5555, 2608, 600, 27, -1392, FULL_HOUSE, 6, NORMAL
6666, 7214, 600, 30, 3214, FULL_HOUSE, 2, NORMAL
7777, 3872, 600, 24, -128, FLUSH, 5, NORMAL
8888, 7332, 600, 60, 3332, FULL_HOUSE, 1, NORMAL
