Pid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 3056, 600, 83, -944, FULL_HOUSE, 4, NORMAL
2222, 5120, 600, 36, 1120, FULL_HOUSE, 3, NORMAL
3333, 2851, 600, 72, -1149, FULL_HOUSE, 5, NORMAL
4444, 36, 363, 30, -3964, FULL_HOUSE, 8, NORMAL
5555, 5397, 600, 29, 1397, STRAIGHT, 2, NORMAL
6666, 1970, 600, 38, -2030, FULL_HOUSE, 6, NORMAL
7777, 13569, 600, 41, 9569, STRAIGHT, 1, NORMAL
8888, 0, 524, 73, -4000, FLUSH, 7, NORMAL
