Pid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 15419, 600, 70, 11419, FULL_HOUSE, 1, NORMAL
2222, 2772, 600, 35, -1228, FULL_HOUSE, 5, NORMAL
3333, 1253, 600, 74, -2747, FULL_HOUSE, 7, NORMAL
4444, 3167, 600, 34, -833, FULL_HOUSE, 4, NORMAL
5555, 1341, 600, 22, -2659, STRAIGHT, 6, NORMAL
6666, 3266, 600, 36, -734, FLUSH, 3, NORMAL
7777, 4782, 600, 56, 782, FOUR_OF_A_KIND, 2, NORMAL
8888, 0, 128, 16, -4000, STRAIGHT, 8, NORMAL
