Pid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 3054, 600, 61, -946, FULL_HOUSE, 4, NORMAL
2222, 2158, 600, 36, -1842, STRAIGHT, 5, NORMAL
3333, 34, 356, 42, -3966, FULL_HOUSE, 6, NORMAL
4444, 0, 182, 11, -4000, THREE_OF_A_KIND, 8, NORMAL
5555, 3540, 600, 38, -460, FLUSH, 3, NORMAL
6666, 0, 234, 11, -4000, FLUSH, 7, NORMAL
7777, 3800, 600, 48, -200, FLUSH, 2, NORMAL
8888, 16210, 600, 93, 12210, FULL_HOUSE, 1, NORMAL
