1's ave  : 4.70  [5, 6, 3, 4, 5, 3, 6, 7, 5, 4, 2, 6, 2, 6, 8, 6, 7, 7, 6, 5, 3, 1, 3, 4, 2, 2, 6, 8, 4, 5]
2's ave  : 5.80  [7, 5, 7, 8, 8, 6, 3, 6, 8, 7, 8, 5, 3, 4, 7, 7, 3, 5, 5, 3, 6, 7, 2, 6, 3, 8, 8, 4, 8, 7]
3's ave  : 5.27  [6, 7, 5, 3, 7, 5, 5, 5, 4, 6, 3, 2, 4, 8, 4, 5, 5, 3, 7, 7, 5, 6, 4, 8, 5, 6, 5, 5, 7, 6]
4's ave  : 5.50  [1, 2, 8, 5, 6, 2, 8, 8, 7, 3, 6, 7, 8, 7, 6, 8, 2, 4, 8, 8, 8, 2, 8, 5, 7, 1, 7, 3, 2, 8]
5's ave  : 4.10  [3, 8, 6, 2, 2, 7, 7, 2, 3, 8, 4, 4, 5, 5, 2, 2, 6, 2, 3, 4, 7, 3, 6, 3, 4, 5, 3, 2, 3, 2]
6's ave  : 4.70  [4, 3, 4, 6, 4, 4, 4, 4, 6, 5, 5, 3, 6, 3, 3, 4, 4, 6, 4, 6, 4, 5, 7, 7, 6, 4, 4, 7, 5, 4]
7's ave  : 2.73  [8, 1, 1, 1, 1, 8, 1, 1, 1, 1, 1, 1, 7, 2, 1, 3, 8, 1, 1, 1, 2, 8, 1, 1, 1, 7, 2, 6, 1, 3]
8's ave  : 3.20  [2, 4, 2, 7, 3, 1, 2, 3, 2, 2, 7, 8, 1, 1, 5, 1, 1, 8, 2, 2, 1, 4, 5, 2, 8, 3, 1, 1, 6, 1]
