1's ave  : 4.63  [2, 4, 4, 4, 3, 3, 2, 4, 3, 2, 5, 6, 2, 4, 6, 8, 5, 6, 7, 7, 6, 2, 6, 8, 3, 8, 8, 5, 3, 3]
2's ave  : 4.70  [5, 3, 5, 7, 7, 6, 5, 7, 5, 5, 4, 4, 7, 2, 7, 6, 3, 5, 4, 3, 2, 3, 5, 7, 5, 6, 4, 4, 4, 1]
3's ave  : 4.83  [8, 8, 7, 2, 8, 4, 7, 5, 6, 6, 8, 5, 4, 7, 2, 7, 2, 2, 2, 6, 7, 6, 2, 2, 8, 2, 2, 2, 6, 2]
4's ave  : 6.17  [4, 6, 3, 6, 2, 7, 8, 8, 8, 7, 7, 8, 8, 6, 8, 3, 4, 8, 8, 2, 5, 8, 7, 6, 6, 3, 7, 6, 8, 8]
5's ave  : 5.80  [3, 7, 8, 8, 6, 1, 6, 3, 4, 8, 3, 7, 6, 8, 3, 5, 8, 4, 5, 5, 8, 7, 8, 4, 7, 7, 6, 7, 7, 5]
6's ave  : 4.13  [6, 5, 6, 3, 4, 5, 3, 2, 2, 4, 1, 3, 5, 5, 5, 4, 6, 3, 3, 4, 4, 5, 4, 5, 4, 3, 3, 8, 5, 4]
7's ave  : 1.47  [1, 1, 1, 1, 1, 8, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7]
8's ave  : 4.23  [7, 2, 2, 5, 5, 2, 4, 6, 7, 3, 6, 2, 3, 3, 4, 2, 7, 7, 6, 8, 3, 4, 3, 3, 2, 5, 5, 3, 2, 6]
