1's ave  : 5.37  [7, 7, 5, 3, 7, 6, 3, 5, 6, 7, 5, 3, 6, 7, 6, 6, 8, 7, 5, 3, 4, 2, 4, 5, 8, 5, 5, 5, 7, 4]
2's ave  : 5.67  [5, 8, 7, 5, 2, 5, 8, 7, 8, 5, 6, 2, 5, 3, 8, 7, 3, 8, 7, 5, 8, 5, 6, 6, 3, 6, 8, 4, 8, 2]
3's ave  : 3.40  [2, 2, 4, 8, 8, 3, 4, 8, 2, 2, 2, 8, 8, 1, 2, 2, 2, 2, 2, 2, 1, 3, 8, 3, 2, 2, 2, 1, 5, 1]
4's ave  : 5.23  [6, 6, 3, 6, 5, 4, 5, 2, 3, 8, 8, 4, 3, 4, 5, 8, 4, 6, 8, 7, 5, 8, 7, 8, 5, 4, 4, 3, 3, 5]
5's ave  : 4.73  [4, 4, 8, 2, 4, 7, 7, 3, 4, 6, 4, 6, 2, 5, 7, 3, 5, 3, 6, 6, 7, 4, 3, 2, 4, 8, 3, 6, 2, 7]
6's ave  : 4.63  [3, 5, 2, 7, 3, 2, 2, 6, 7, 1, 3, 5, 7, 6, 3, 5, 6, 5, 3, 4, 3, 6, 2, 7, 6, 7, 7, 7, 6, 3]
7's ave  : 1.40  [1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 8]
8's ave  : 5.53  [8, 3, 6, 4, 6, 8, 6, 4, 5, 4, 7, 7, 4, 8, 4, 4, 7, 4, 4, 8, 6, 6, 5, 4, 7, 3, 6, 8, 4, 6]
