1's ave  : 7.00  [8, 8, 8, 8, 8, 7, 6, 5, 8, 8, 8, 8, 8, 8, 8, 8, 8, 6, 7, 8, 6, 7, 8, 8, 2, 8, 2, 2, 8, 8]
2's ave  : 5.53  [5, 7, 5, 5, 6, 6, 7, 6, 7, 5, 4, 5, 6, 6, 5, 5, 6, 5, 3, 5, 5, 6, 5, 7, 6, 6, 5, 6, 7, 4]
3's ave  : 2.37  [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 5, 2, 3, 2, 6, 2, 4, 2, 2, 2, 2, 2, 2, 5, 1, 2, 1, 3, 1, 2]
4's ave  : 4.87  [6, 6, 3, 6, 5, 4, 8, 1, 6, 7, 6, 6, 2, 3, 3, 7, 3, 1, 6, 4, 7, 5, 6, 4, 5, 3, 6, 4, 6, 7]
5's ave  : 6.87  [7, 5, 7, 7, 7, 8, 5, 8, 5, 6, 7, 7, 7, 7, 7, 6, 7, 8, 8, 7, 8, 8, 7, 6, 8, 7, 8, 8, 5, 5]
6's ave  : 3.63  [3, 4, 6, 4, 4, 3, 3, 3, 3, 4, 3, 3, 4, 4, 4, 4, 2, 3, 4, 6, 4, 3, 4, 2, 4, 4, 4, 1, 3, 6]
7's ave  : 2.03  [1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 7, 1, 7, 7, 2, 1]
8's ave  : 3.70  [4, 3, 4, 3, 3, 5, 4, 4, 4, 3, 2, 4, 5, 5, 2, 3, 5, 4, 5, 3, 3, 4, 3, 3, 3, 5, 3, 5, 4, 3]
