1's ave  : 3.97  [3, 4, 3, 4, 5, 6, 6, 6, 4, 3, 5, 3, 4, 3, 4, 4, 4, 3, 4, 2, 3, 4, 4, 4, 6, 4, 2, 5, 2, 5]
2's ave  : 5.33  [6, 7, 5, 8, 4, 3, 5, 5, 3, 6, 2, 8, 6, 6, 5, 5, 7, 2, 7, 7, 5, 6, 8, 2, 2, 7, 3, 7, 7, 6]
3's ave  : 3.43  [4, 3, 2, 6, 2, 4, 4, 2, 5, 2, 1, 2, 5, 2, 2, 2, 2, 8, 6, 3, 4, 2, 2, 3, 4, 6, 6, 3, 4, 2]
4's ave  : 5.07  [8, 8, 4, 3, 7, 1, 1, 7, 8, 4, 6, 5, 7, 1, 7, 8, 5, 4, 1, 4, 6, 5, 6, 6, 1, 3, 7, 8, 3, 8]
5's ave  : 4.70  [7, 2, 7, 5, 3, 7, 2, 4, 6, 7, 4, 4, 2, 5, 6, 3, 3, 6, 2, 5, 2, 7, 7, 7, 7, 2, 4, 6, 8, 1]
6's ave  : 5.40  [5, 5, 8, 2, 6, 8, 7, 3, 2, 8, 7, 7, 3, 7, 3, 6, 6, 5, 5, 6, 7, 8, 3, 5, 5, 8, 5, 4, 5, 3]
7's ave  : 2.90  [2, 6, 1, 1, 8, 2, 8, 1, 7, 1, 3, 1, 8, 4, 1, 1, 1, 1, 8, 1, 1, 1, 1, 1, 8, 1, 1, 2, 1, 4]
8's ave  : 5.20  [1, 1, 6, 7, 1, 5, 3, 8, 1, 5, 8, 6, 1, 8, 8, 7, 8, 7, 3, 8, 8, 3, 5, 8, 3, 5, 8, 1, 6, 7]
