1's ave  : 5.67  [3, 6, 7, 5, 3, 3, 8, 7, 7, 7, 8, 2, 8, 5, 8, 1, 8, 5, 6, 3, 6, 8, 3, 4, 7, 7, 7, 6, 6, 6]
2's ave  : 5.50  [7, 7, 8, 4, 5, 5, 7, 6, 5, 5, 7, 3, 3, 6, 6, 5, 7, 7, 5, 7, 8, 6, 5, 6, 5, 5, 4, 4, 4, 3]
3's ave  : 3.67  [4, 3, 3, 8, 2, 2, 2, 2, 3, 2, 3, 5, 6, 4, 3, 2, 5, 4, 3, 5, 7, 2, 2, 5, 2, 3, 2, 2, 8, 6]
4's ave  : 5.67  [6, 8, 6, 3, 1, 6, 6, 5, 1, 8, 6, 7, 4, 8, 7, 4, 6, 8, 8, 4, 3, 3, 1, 8, 8, 8, 8, 8, 7, 4]
5's ave  : 4.17  [8, 2, 1, 7, 7, 8, 3, 3, 6, 6, 2, 6, 7, 2, 2, 7, 2, 3, 2, 8, 2, 5, 6, 3, 3, 2, 3, 5, 2, 2]
6's ave  : 4.07  [2, 5, 5, 2, 6, 4, 5, 4, 4, 4, 4, 4, 5, 3, 4, 6, 4, 2, 4, 2, 5, 4, 4, 2, 6, 4, 5, 3, 5, 5]
7's ave  : 1.97  [1, 1, 2, 1, 8, 1, 1, 1, 8, 1, 1, 1, 1, 1, 1, 8, 1, 1, 1, 1, 1, 1, 8, 1, 1, 1, 1, 1, 1, 1]
8's ave  : 5.27  [5, 4, 4, 6, 4, 7, 4, 8, 2, 3, 5, 8, 2, 7, 5, 3, 3, 6, 7, 6, 4, 7, 7, 7, 4, 6, 6, 7, 3, 8]
