1's ave  : 3.70  [3, 3, 7, 3, 6, 2, 4, 7, 1, 7, 4, 5, 2, 4, 6, 2, 2, 8, 1, 2, 6, 2, 3, 8, 1, 1, 1, 6, 1, 3]
2's ave  : 3.53  [2, 1, 3, 2, 4, 8, 7, 3, 3, 1, 7, 1, 7, 3, 1, 3, 3, 3, 7, 4, 2, 3, 1, 2, 7, 4, 5, 2, 3, 4]
3's ave  : 4.63  [4, 4, 4, 6, 3, 5, 3, 5, 7, 5, 2, 6, 6, 7, 3, 1, 1, 4, 8, 5, 3, 8, 7, 6, 2, 2, 7, 5, 8, 2]
4's ave  : 4.90  [7, 5, 5, 5, 5, 4, 6, 2, 5, 6, 6, 4, 3, 5, 7, 6, 4, 7, 5, 6, 4, 4, 5, 4, 3, 6, 3, 4, 5, 6]
5's ave  : 4.77  [6, 8, 2, 8, 2, 6, 2, 4, 6, 2, 3, 3, 4, 2, 4, 8, 7, 1, 6, 7, 7, 7, 4, 1, 5, 3, 6, 7, 7, 5]
6's ave  : 5.00  [5, 6, 6, 4, 7, 3, 5, 6, 4, 4, 5, 7, 5, 6, 5, 5, 5, 6, 4, 3, 5, 6, 6, 5, 4, 5, 4, 3, 4, 7]
7's ave  : 2.20  [1, 2, 1, 1, 1, 1, 1, 1, 2, 3, 1, 2, 1, 1, 2, 4, 8, 2, 3, 1, 1, 1, 2, 3, 6, 8, 2, 1, 2, 1]
8's ave  : 7.27  [8, 7, 8, 7, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 6, 5, 2, 8, 8, 5, 8, 7, 8, 7, 8, 8, 6, 8]
