Pid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 9071, 500, 173, -929, STRAIGHT_FLUSH, 4, NORMAL
2222, 55, 216, 20, -9945, TWO_PAIR, 8, NORMAL
3333, 0, 394, 47, -10000, FULL_HOUSE, 5, NORMAL
4444, 10593, 500, 141, 593, STRAIGHT_FLUSH, 3, NORMAL
5555, 39832, 500, 65, 29832, FULL_HOUSE, 1, NORMAL
6666, 82, 257, 52, -9918, FULL_HOUSE, 6, NORMAL
7777, 20288, 500, 21, 10288, FULL_HOUSE, 2, NORMAL
8888, 79, 248, 26, -9921, FULL_HOUSE, 7, NORMAL
